source,instance_id,is_damaged,ground_truth_note,current_anomaly_score,severity_trend,localised_height_m,localised_label,priority_score,inspection_cost_aud,risk_of_delay_aud,worth_inspecting_now
synthetic,synthetic-348,True,damage severity 0.5,4.758439064025879,1.2977953895926475,9.0,sensor node 64 (~9.0 m up),6.175480278950339,1340.0,30877.401394751694,True
synthetic,synthetic-178,True,damage severity 0.3,3.159231424331665,0.8842109590768813,9.0,sensor node 64 (~9.0 m up),2.793427047654123,1340.0,13967.135238270615,True
synthetic,synthetic-371,True,damage severity 0.5,2.46921443939209,0.6307663589715956,9.0,sensor node 64 (~9.0 m up),1.5574974014554381,1340.0,7787.487007277191,True
synthetic,synthetic-270,True,damage severity 0.3,1.9192708730697632,0.5451151713728905,0.42857142857142855,sensor node 4 (~0.4 m up),1.046223670884421,825.7142857142857,5231.118354422105,True
synthetic,synthetic-632,True,damage severity 1.0,1.7883294820785522,0.4335575386881827,9.0,sensor node 63 (~9.0 m up),0.7753437286134897,1340.0,3876.7186430674483,True
synthetic,synthetic-381,True,damage severity 0.5,1.7577497959136963,0.41777217686176293,9.0,sensor node 63 (~9.0 m up),0.7343389586171845,1340.0,3671.6947930859224,True
synthetic,synthetic-364,True,damage severity 0.5,1.5765762329101562,0.4058744877576827,9.0,sensor node 64 (~9.0 m up),0.6398920709433468,1340.0,3199.460354716734,True
synthetic,synthetic-324,True,damage severity 0.5,1.550083041191101,0.3958816483616829,0.42857142857142855,sensor node 3 (~0.4 m up),0.6136494294442235,825.7142857142857,3068.2471472211178,True
synthetic,synthetic-264,True,damage severity 0.3,1.336591362953186,0.32904339134693145,0.42857142857142855,sensor node 3 (~0.4 m up),0.4397965549111337,825.7142857142857,2198.9827745556686,True
synthetic,synthetic-404,True,damage severity 0.5,1.1598314046859741,0.27940315455198284,5.571428571428571,sensor node 40 (~5.6 m up),0.3240605532177186,1134.2857142857142,1620.302766088593,True
synthetic,synthetic-633,True,damage severity 1.0,1.1596941947937012,0.255746379494667,7.285714285714286,sensor node 53 (~7.3 m up),0.2965875916394722,1237.142857142857,1482.937958197361,True
synthetic,synthetic-176,True,damage severity 0.3,1.1231951713562012,0.24306693375110622,9.0,sensor node 63 (~9.0 m up),0.2730116063056002,1340.0,1365.0580315280008,True
synthetic,synthetic-310,True,damage severity 0.5,0.40491315722465515,0.6221177980303766,9.0,sensor node 63 (~9.0 m up),0.25190368176613015,1340.0,1259.5184088306507,False
synthetic,synthetic-542,True,damage severity 0.7,0.8945094347000122,0.27748677581548686,7.285714285714286,sensor node 52 (~7.3 m up),0.24821453897144016,1237.142857142857,1241.0726948572008,True
synthetic,synthetic-108,False,healthy,0.8416330218315125,0.19007326215505602,5.571428571428571,sensor node 41 (~5.6 m up),0.15997193399693305,1134.2857142857142,799.8596699846653,False
synthetic,synthetic-330,True,damage severity 0.5,0.6169739961624146,0.2381700396537781,7.285714285714286,sensor node 53 (~7.3 m up),0.1469447211313522,1237.142857142857,734.723605656761,False
synthetic,synthetic-71,False,healthy,0.7472559213638306,0.18471420705318448,3.8571428571428568,sensor node 28 (~3.9 m up),0.13802878498051674,1031.4285714285713,690.1439249025836,False
synthetic,synthetic-250,True,damage severity 0.3,0.7718938589096069,0.17782963514328,7.285714285714286,sensor node 53 (~7.3 m up),0.13726560329923387,1237.142857142857,686.3280164961693,False
synthetic,synthetic-691,True,damage severity 1.0,0.8591330647468567,0.15648987889289856,7.285714285714286,sensor node 53 (~7.3 m up),0.13444562925512038,1237.142857142857,672.228146275602,False
synthetic,synthetic-455,True,damage severity 0.7,0.7201002240180969,0.17428717762231824,5.571428571428571,sensor node 41 (~5.6 m up),0.1255042356493132,1134.2857142857142,627.521178246566,False
synthetic,synthetic-243,True,damage severity 0.3,0.7520774006843567,0.15884573161602017,7.285714285714286,sensor node 53 (~7.3 m up),0.11946428494358138,1237.142857142857,597.3214247179069,False
synthetic,synthetic-602,True,damage severity 1.0,0.7496967911720276,0.15773420184850692,7.285714285714286,sensor node 53 (~7.3 m up),0.11825282498390655,1237.142857142857,591.2641249195327,False
synthetic,synthetic-217,True,damage severity 0.3,0.6877694725990295,0.1508818671107292,5.571428571428571,sensor node 41 (~5.6 m up),0.10377194216750309,1134.2857142857142,518.8597108375154,False
synthetic,synthetic-332,True,damage severity 0.5,0.19978812336921692,0.48666484951972977,9.0,sensor node 64 (~9.0 m up),0.09722985699530916,1340.0,486.1492849765458,False
synthetic,synthetic-507,True,damage severity 0.7,0.6227355599403381,0.15441613793373107,5.571428571428571,sensor node 41 (~5.6 m up),0.0961604201199865,1134.2857142857142,480.80210059993254,False
synthetic,synthetic-286,True,damage severity 0.3,0.8235037922859192,0.11462273746728895,9.0,sensor node 65 (~9.0 m up),0.09439225898650576,1340.0,471.9612949325288,False
synthetic,synthetic-387,True,damage severity 0.5,0.7018965482711792,0.13261618912219997,9.0,sensor node 63 (~9.0 m up),0.09308284538975006,1340.0,465.4142269487503,False
synthetic,synthetic-254,True,damage severity 0.3,0.6807517409324646,0.13522658348083494,5.571428571428571,sensor node 41 (~5.6 m up),0.09205573212492764,1134.2857142857142,460.2786606246382,False
synthetic,synthetic-712,True,damage severity 1.0,0.5889230966567993,0.15083056688308716,2.142857142857143,sensor node 17 (~2.1 m up),0.08882760451928817,928.5714285714286,444.13802259644086,False
synthetic,synthetic-175,True,damage severity 0.3,0.6291196346282959,0.13412127941846846,7.285714285714286,sensor node 53 (~7.3 m up),0.08437833030362646,1237.142857142857,421.8916515181323,False
synthetic,synthetic-673,True,damage severity 1.0,0.45404279232025146,0.18377036154270174,9.0,sensor node 63 (~9.0 m up),0.08343960810055046,1340.0,417.1980405027523,False
synthetic,synthetic-736,True,damage severity 1.0,0.592349112033844,0.13482106178998943,0.42857142857142855,sensor node 4 (~0.4 m up),0.07986113623476025,825.7142857142857,399.30568117380125,False
synthetic,synthetic-483,True,damage severity 0.7,0.531646192073822,0.1476071164011955,7.285714285714286,sensor node 53 (~7.3 m up),0.07847476135769299,1237.142857142857,392.37380678846495,False
synthetic,synthetic-487,True,damage severity 0.7,0.6094996929168701,0.12609101459383965,5.571428571428571,sensor node 41 (~5.6 m up),0.07685243467452185,1134.2857142857142,384.26217337260925,False
